ID,Tx Amplitude at -6,Tx Amplitude at -5,Tx Amplitude at -4,Tx Amplitude at -3,Tx Amplitude at -2.5,Tx Amplitude at -2,Tx Amplitude at -1.5,Tx Amplitude at -1,Tx Amplitude at -0.5,Tx Amplitude at 0,Tx Amplitude at 1,Tx Amplitude at 2,Tx Amplitude at 3,Tx Amplitude at 4,Tx Phase at -6,Tx Phase at -5,Tx Phase at -4,Tx Phase at -3,Tx Phase at -2.5,Tx Phase at -2,Tx Phase at -1.5,Tx Phase at -1,Tx Phase at -0.5,Tx Phase at 0,Tx Phase at 1,Tx Phase at 2,Tx Phase at 3,Tx Phase at 4,Label,Trial
47,level,level,up,up,up,level,down,level,level,down,down,level,down,down,up,up,down,up,down,down,up,down,down,down,down,up,down,down,Hole,4
48,level,level,up,up,up,level,down,level,level,down,down,level,down,down,up,up,down,up,down,down,up,down,down,down,down,up,down,down,Hole,4
49,level,level,up,up,up,level,down,level,level,down,down,level,down,down,up,up,down,up,down,down,up,down,down,down,down,up,down,down,Hole,4
50,level,level,up,up,up,level,down,level,level,down,down,level,down,down,up,up,down,up,down,down,up,down,down,down,down,up,down,down,Hole,4
51,level,level,up,up,up,level,down,level,level,down,down,level,down,down,up,up,down,up,down,down,up,down,down,down,down,up,down,down,Hole,4
52,level,level,up,up,up,level,down,level,level,down,down,level,down,down,up,up,down,up,down,down,up,down,down,down,down,up,down,down,Hole,4
53,level,level,up,up,up,level,down,level,level,down,down,level,down,down,up,up,down,up,down,down,up,down,down,down,down,up,down,down,Hole,4
54,level,level,up,up,up,level,down,level,level,down,down,level,down,down,up,up,down,up,down,down,up,down,down,down,down,up,down,down,Hole,4
55,level,level,up,up,up,level,down,level,level,down,down,level,down,down,up,up,down,up,down,down,up,down,down,down,down,up,down,down,Hole,4
56,level,level,up,up,up,level,down,level,level,down,down,level,down,down,up,up,down,up,down,down,up,down,down,down,down,up,down,down,Hole,4
57,level,level,up,up,up,level,down,level,level,down,down,level,down,down,up,up,down,up,down,down,up,down,down,down,down,up,down,down,Hole,4
58,level,level,up,up,up,level,down,level,level,down,down,level,down,down,up,up,down,up,down,down,up,down,down,down,down,up,down,down,Hole,4
59,level,level,up,up,up,level,down,level,level,down,down,level,down,down,up,up,down,up,down,down,up,down,down,down,down,up,down,down,Hole,4
300,down,level,up,up,level,level,level,level,level,down,down,down,level,up,up,down,up,up,down,down,up,down,down,up,down,up,down,up,Hole,1
301,down,level,up,up,level,level,level,level,level,down,down,down,level,up,up,down,up,up,down,down,up,down,down,up,down,up,down,up,Hole,1
